id,time,type,head,pos,nextLine,crackType
84,39.73,0,1,90,85,0
85,39.93,1,0,120,86,1
86,40.13,1,0,150,87,1
87,40.33,1,0,180,88,1
88,40.5,1,0,210,-1,1
89,40.5,0,1,450,90,0
90,40.7,1,0,420,91,1
91,40.9,1,0,390,92,1
92,41.1,1,0,360,93,1
93,41.3,1,0,330,-1,1
94,41.3,0,1,90,95,0
95,41.6,1,0,120,96,1
96,41.9,1,0,150,97,1
97,42.2,1,0,180,98,1
98,42.5,1,0,210,99,1
99,42.85,1,0,240,-1,1
100,42.9,0,1,450,101,0
101,43.2,1,0,420,102,1
102,43.5,1,0,390,103,1
103,43.8,1,0,360,104,1
104,44.1,1,0,330,105,1
105,44.45,1,0,300,-1,1
107,45.67,0,0,150,-1,0
108,45.87,0,0,90,-1,0
109,46.87,0,0,270,-1,0
110,47.27,0,0,360,-1,0
111,47.67,0,1,90,112,0
112,47.97,1,0,120,113,1
113,48.27,1,0,150,114,1
114,48.47,1,0,180,-1,1
115,48.67,0,0,90,-1,0
116,48.87,0,0,180,-1,0
117,49.07,0,0,270,-1,0
118,49.57,0,0,90,-1,0
119,50.83,0,1,180,120,0
120,51.13,1,0,210,121,1
121,51.43,1,0,240,122,1
122,51.73,1,0,270,123,1
123,52.03,1,0,300,124,1
124,52.33,1,0,330,-1,1
126,53.23,0,0,90,-1,0
127,54.03,0,0,450,-1,0
128,54.03,0,0,360,-1,0
129,54.83,0,0,90,-1,0
130,55,0,0,180,-1,0
131,55.2,0,0,450,-1,0
132,55.4,0,0,270,-1,0
133,56.8,0,0,90,-1,0
134,57,0,0,180,-1,0
135,57.2,0,0,360,-1,0
136,57.2,0,0,270,-1,0
137,57.8,0,0,90,-1,0
138,58,0,0,180,-1,0
139,58.3,0,0,270,-1,0
140,58.6,0,0,450,-1,0
141,58.8,0,0,360,-1,0
142,59.4,0,0,90,-1,0
143,59.5,0,0,180,-1,0
144,59.6,0,0,360,-1,0
145,59.87,0,0,270,-1,0
146,60.17,0,0,450,-1,0
147,61.17,0,0,90,-1,0
148,61.37,0,0,180,-1,0
149,61.57,0,0,450,-1,0
150,61.77,0,0,360,-1,0
151,62.77,0,0,180,-1,0
152,63.17,0,0,90,-1,0
154,64.57,0,0,450,-1,0
155,64.77,0,0,360,-1,0
156,64.97,0,0,180,-1,0
157,65.13,0,0,90,-1,0
158,65.13,0,0,450,-1,0
159,65.93,0,0,180,-1,0
160,65.93,0,0,90,-1,0
161,66.73,0,1,300,162,0
162,66.93,1,0,330,163,1
163,67.13,1,0,360,164,1
164,67.33,1,0,390,165,1
165,67.53,1,0,420,-1,1
166,67.53,0,0,270,-1,0
167,67.73,0,0,180,-1,0
168,67.93,0,0,450,-1,0
169,68.13,0,0,90,-1,0
170,68.33,0,1,270,171,0
171,68.63,1,0,240,172,1
172,68.93,1,0,210,173,1
173,69.23,1,0,180,174,1
174,69.43,1,0,150,175,1
175,69.73,1,0,120,-1,1
178,71.1,0,0,450,-1,0
179,71.5,0,1,90,180,0
180,71.8,1,0,120,181,1
181,72.1,1,0,150,182,1
182,72.3,1,0,180,-1,1
183,72.3,0,1,450,184,0
184,72.6,1,0,420,185,1
185,72.9,1,0,390,-1,1
186,73.1,0,0,90,-1,0
187,73.9,0,0,360,-1,0
188,74.1,0,0,180,-1,0
189,74.3,0,0,270,-1,0
190,74.5,0,0,360,-1,0
191,75.87,0,0,450,-1,0
192,76.07,0,0,90,-1,0
193,76.87,0,0,360,-1,0
194,78.67,0,0,270,-1,0
196,79.67,0,0,90,-1,0
197,80,0,0,360,-1,0
198,80.33,0,0,180,-1,0
199,80.67,0,0,450,-1,0
200,81,0,0,90,-1,0
201,81.33,0,0,180,-1,0
202,81.67,0,0,450,-1,0
203,82,0,0,360,-1,0
204,82.33,0,0,180,-1,0
205,82.67,0,0,450,-1,0
206,83,0,0,270,-1,0
207,83.33,0,0,90,-1,0
208,83.67,0,0,360,-1,0
209,84,0,0,450,-1,0
210,84.33,0,0,270,-1,0
211,84.67,0,0,180,-1,0
212,85,0,0,90,-1,0
213,85.33,0,0,360,-1,0
214,85.67,0,0,180,-1,0
215,86,0,0,450,-1,0
216,86.33,0,0,270,-1,0
217,86.67,0,0,90,-1,0
218,87,0,0,450,-1,0
219,87.33,0,0,180,-1,0
220,87.67,0,0,90,-1,0
221,88,0,0,360,-1,0
222,88.33,0,0,270,-1,0
223,88.67,0,0,450,-1,0
225,89.33,0,0,180,-1,0
226,89.67,0,0,270,-1,0
227,90,0,0,450,-1,0
228,90.33,0,0,360,-1,0
229,90.67,0,0,90,-1,0
230,91,0,0,180,-1,0
231,91.33,0,0,270,-1,0
232,92.37,0,0,360,-1,0
233,92.57,0,0,450,-1,0
234,92.97,0,0,90,-1,0
236,93.23,0,0,180,-1,0
237,93.57,0,0,270,-1,0
238,93.97,0,0,360,-1,0
239,94.17,0,0,450,-1,0
241,94.57,0,0,180,-1,0
242,94.57,0,0,360,-1,0
244,94.97,0,0,450,-1,0
245,94.97,0,0,90,-1,0
247,95.33,0,0,150,-1,0
248,95.53,0,0,240,-1,0
249,95.73,0,0,330,-1,0
251,96.13,0,0,420,-1,0
252,96.13,0,0,90,-1,0
254,96.4,0,0,180,-1,0
255,96.7,0,0,270,-1,0
257,96.93,0,0,450,-1,0
258,97.13,0,0,360,-1,0
259,97.33,0,0,90,-1,0
261,97.73,0,0,180,-1,0
262,97.73,0,0,360,-1,0
264,98.13,0,0,270,-1,0
266,98.33,0,0,90,-1,0
267,98.53,0,0,450,-1,0
268,98.73,0,0,360,-1,0
269,98.93,0,0,270,-1,0
271,99.33,0,0,180,-1,0
272,99.33,0,0,360,-1,0
273,99.6,0,0,270,-1,0
274,99.6,0,0,90,-1,0
275,99.93,0,0,450,-1,0
276,99.93,0,0,180,-1,0
277,100.1,0,0,270,-1,0
278,100.33,0,0,90,-1,0
279,100.67,0,0,180,-1,0
280,101,0,0,450,-1,0
281,101.33,0,0,360,-1,0
282,101.67,0,0,270,-1,0
283,102,0,0,450,-1,0
284,102.33,0,0,360,-1,0
285,102.67,0,0,90,-1,0
286,103,0,0,180,-1,0
287,103.33,0,0,360,-1,0
288,103.67,0,0,270,-1,0
289,104,0,0,180,-1,0
290,104.33,0,0,360,-1,0
291,104.67,0,0,450,-1,0
292,104.9,0,0,90,-1,0
293,105.07,0,0,150,-1,0
294,105.27,0,0,210,-1,0
295,105.47,0,0,270,-1,0
296,105.67,0,0,330,-1,0
297,106.07,0,0,180,-1,0
298,106.07,0,0,360,-1,0
299,106.27,0,0,90,-1,0
300,106.27,0,0,450,-1,0
301,106.87,0,0,180,-1,0
302,107.27,0,0,270,-1,0
303,107.47,0,0,330,-1,0
304,107.67,0,0,390,-1,0
305,107.87,0,0,450,-1,0
306,108.27,0,0,90,-1,0
307,108.27,0,0,360,-1,0
308,108.47,0,0,180,-1,0
309,108.47,0,0,150,-1,0
310,109.13,0,0,270,-1,0
311,109.47,0,0,450,-1,0
312,109.67,0,1,90,313,0
313,110,1,0,90,314,1
314,110.3,1,0,90,315,1
315,110.6,1,0,90,316,1
316,110.9,1,0,90,317,1
317,111.23,1,0,90,-1,1
318,111.43,0,0,180,-1,0
319,111.63,0,0,360,-1,0
320,112.03,0,0,270,-1,0
321,112.3,0,0,180,-1,0
323,112.83,0,1,90,325,0
324,112.83,0,1,450,326,0
325,113.13,1,0,120,327,1
326,113.13,1,0,420,328,1
327,113.5,1,0,150,329,1
328,113.5,1,0,390,330,1
329,113.8,1,0,180,331,1
330,113.8,1,0,360,332,1
331,114.1,1,0,210,333,1
332,114.1,1,0,330,334,1
333,114.43,1,0,240,-1,1
334,114.43,1,0,300,-1,1
335,116,0,0,180,-1,0
336,116,0,0,360,-1,0
337,117.2,0,0,270,-1,0
338,117.6,0,0,90,-1,0
339,117.6,0,0,450,-1,0
